id,Type,Length,Isometrie,vertex_index,vertex_part,vertex_part_index,distance,angle,xcoord,ycoord
8,Distributor,,Rechts,15,0,15,66.35653181220158,309.52941244506439,401945.180922118,5532004.46737752
8,Distributor,,Rechts,16,0,16,70.96269928761592,311.34777721434511,401941.723009932,5532007.51034025
10,Distributor,,Links,0,0,0,0.00000000000000,103.15094868070805,401725.947374641,5531987.41841256
10,Distributor,,Links,1,0,1,10.13230555379324,105.98782935043641,401735.813950743,5531985.11313777
10,Distributor,,Links,2,0,2,14.41887708940821,105.22917201152607,401739.871234374,5531983.7299729
10,Distributor,,Links,3,0,3,20.82073766373367,98.53698301497550,401746.141581803,5531982.43901902
10,Distributor,,Links,4,0,4,28.60150965946163,97.28525425516023,401753.887305098,5531981.70133108
10,Distributor,,Links,5,0,5,33.83158834468647,100.42132439897202,401759.051120628,5531980.87143216
10,Distributor,,Links,6,0,6,41.55367394930573,101.03576239992871,401766.61242194,5531979.3038453
10,Distributor,,Links,7,0,7,50.27139297477754,105.38446765859366,401775.18804416,5531977.73625844
10,Distributor,,Links,8,0,8,58.73272501610968,111.16583071408292,401783.118189438,5531974.78550671
10,Distributor,,Links,9,0,9,66.88336300740789,110.59553649971384,401790.67949075,5531971.74254399
10,Distributor,,Links,10,0,10,78.89842336855740,112.36631973008500,401802.021442718,5531967.77747135
10,Distributor,,Links,11,0,11,87.47751519201285,114.77768229158696,401809.767166013,5531964.08903169
10,Distributor,,Links,12,0,12,99.90172732100307,114.09201952628284,401821.109117981,5531959.01742715
13,Distributor,,Links,0,0,0,0.00000000000000,116.33308571714841,402073.905551475,5531905.30452453
13,Distributor,,Links,1,0,1,2.54646793121919,120.09204801428329,402076.187773517,5531904.17493989
13,Distributor,,Links,2,0,2,9.37494713254160,122.85849400097558,402081.858749501,5531900.37123648
13,Distributor,,Links,3,0,3,16.40516598674049,124.00583475270344,402087.829411208,5531896.65974407
13,Distributor,,Links,4,0,4,22.97111308329828,124.89553342593004,402093.131543225,5531892.78688242
13,Distributor,,Links,5,0,5,31.16781576286928,124.03769190900134,402099.955156604,5531888.24549109
13,Distributor,,Links,6,0,6,38.09914493689661,125.13383086806309,402105.672238084,5531884.32652394
13,Distributor,,Links,7,0,7,47.31251819064200,124.86455539559773,402113.141328404,5531878.93218093
13,Distributor,,Links,8,0,8,54.58857313077190,123.08355107676408,402119.181148354,5531874.8748973
13,Distributor,,Links,9,0,9,63.91340253361470,125.28290375450943,402127.065188137,5531869.89550376
13,Distributor,,Links,10,0,10,69.49388192964054,128.74171814269337,402131.445210238,5531866.43759157
13,Distributor,,Links,11,0,11,77.22752054872284,125.49026310721912,402137.438924693,5531861.55040902
13,Distributor,,Links,12,0,12,84.92976066908976,123.75360371520712,402143.985905097,5531857.49312538
13,Distributor,,Links,13,0,13,89.98394092931198,125.71995430978625,402148.089294224,5531854.54237365
14,Akkumulator,,Links,0,0,0,0.00000000000000,91.99209357329239,401972.484612737,5531769.50388982
14,Akkumulator,,Links,1,0,1,2.48968585218582,86.01001794211398,401974.972793907,5531769.41734439
14,Akkumulator,,Links,2,0,2,4.48879634805554,70.95736670867514,401976.941702484,5531769.76352612
14,Akkumulator,,Links,3,0,3,6.27952360625707,54.44817246335466,401978.521156617,5531770.60734408
14,Akkumulator,,Links,4,0,4,8.02470746711368,52.13716377158942,401979.797701739,5531771.79734377
14,Akkumulator,,Links,5,0,5,9.46511052438780,61.34159962403114,401981.009337787,5531772.57625266
14,Akkumulator,,Links,6,0,6,11.70162349838673,68.57525965740936,401983.043155438,5531773.50661605
14,Akkumulator,,Links,7,0,7,14.04844535558979,78.50597842900864,401985.271700311,5531774.24225223
14,Akkumulator,,Links,8,0,8,18.78122248171721,85.27986306837659,401989.988426354,5531774.63170667
11,Distributor,,Rechts,0,0,0,0.00000000000000,314.99999999042558,402119.433485218,5531996.13340346
11,Distributor,,Rechts,1,0,1,2.46305779446167,313.87271251177731,402117.691840348,5531997.87504833
11,Distributor,,Rechts,2,0,2,5.79338410319349,311.42316629219897,402115.246126277,5532000.13548103
11,Distributor,,Rechts,3,0,3,11.31613658137279,311.07229844887490,402111.021711062,5532003.69288332
