fid,id,Ordnung,vertex_index,vertex_part,vertex_part_index,distance,angle,xcoord,ycoord
469,31,1,1,0,1,16.6335109588346,64.7324571825214,401813.581795086,5531992.67435154
470,31,1,2,0,2,35.4545926094696,64.5472947764169,401830.455866868,5532001.01094653
471,31,1,3,0,3,57.8819465591836,63.9166715118887,401850.845370272,5532010.35195055
472,31,1,4,0,4,78.7272455932594,64.2296342851963,401869.326496509,5532019.99427728
473,31,1,5,0,5,101.703856927164,64.9583279941942,401890.318645333,5532029.3352813
474,31,1,6,0,6,129.105085293705,64.3798951058671,401914.926666682,5532041.38818972
475,31,1,7,0,7,139.978711921567,70.4094854381423,401924.769875222,5532046.00847128
476,31,1,8,0,8,144.534124917366,75.9637565070373,401929.189274974,5532047.11332122
477,32,1,0,0,0,0,61.833930819284,401905.786544467,5531907.27447337
478,32,1,1,0,1,14.4694176878271,63.828918271578,401918.542539207,5531914.1044548
479,32,1,2,0,2,32.250152845035,64.9804206117449,401934.763745117,5531921.3864203
480,32,1,3,0,3,56.0812256584805,65.1717162204748,401956.207878007,5531931.78205381
481,32,1,4,0,4,87.2012556311625,65.1250137563315,401984.682874139,5531944.33716674
482,32,1,5,0,5,102.002748718855,67.531462077598,401997.991293848,5531950.81560502
483,32,1,6,0,6,106.171726855948,73.9637502573057,402001.933599309,5531952.17155722
484,32,1,7,0,7,109.497386446947,76.9081069307467,402005.172818446,5531952.92486399
485,33,1,0,0,0,0,79.2588697551587,401903.802836624,5531881.93825547
486,33,1,1,0,1,21.8265501771732,79.1544799412782,401925.246969514,5531886.00611206
487,33,1,2,0,2,43.7706465115453,78.9065729341199,401946.791543307,5531890.17440955
488,33,1,3,0,3,66.9651566477201,78.4749555212222,401969.541407942,5531894.69425021
489,33,1,4,0,4,82.6651333529884,74.0823860330008,401984.908866172,5531897.90835912
490,33,1,5,0,5,85.8187418047459,69.9779167643994,401987.871872824,5531898.98809883
491,34,1,0,0,0,0,54.8831185893736,401927.080016002,5531841.63634295
492,34,1,1,0,1,15.1033364270576,54.8878059840046,401939.434247128,5531850.3244811
493,34,1,2,0,2,31.4327076355121,56.7677040771603,401952.792887289,5531859.71570557
494,34,1,3,0,3,50.2519801498189,56.8576963059462,401968.863431843,5531869.50869366
495,34,1,4,0,4,61.2163826301569,52.4653892537187,401977.852892704,5531875.78625013
496,34,1,5,0,5,69.0258369685987,49.85830067123,401983.822848903,5531880.82085041
497,35,2,0,0,0,0,18.4349488226779,402097.208073803,5531678.13110722
498,35,2,1,0,1,21.5982977134836,18.145586039892,402104.038055239,5531698.62105153
499,35,2,2,0,2,53.0444823189827,17.2403507004545,402113.680381971,5531728.55244076
500,35,2,3,0,3,75.1620162696921,17.4518661484527,402120.00815889,5531749.74547139
501,35,2,4,0,4,98.5390836343265,18.5076144096848,402127.340344843,5531771.94291106
502,35,2,5,0,5,116.675551586881,17.3879589864266,402133.165917244,5531789.11830555
503,35,2,6,0,6,141.75783933905,17.1219310062248,402140.096339583,5531813.22412238
504,35,2,7,0,7,157.512019861837,18.3403905201651,402145.017943852,5531828.189817
505,35,2,8,0,8,168.366755476982,20.8377264237588,402148.458044796,5531838.48500961
506,35,2,9,0,9,177.163509487624,32.8846585957153,402151.923255966,5531846.57050233
507,35,2,10,0,10,183.028131621174,42.5707266783797,402155.890671653,5531850.88946118
508,36,1,0,0,0,0,54.7099077590758,402079.555585019,5531685.36285227
509,36,1,1,0,1,32.4246043259852,54.7099077590758,402106.021763082,5531704.09508077
510,37,1,0,0,0,0,302.423879519292,402071.570533193,5531689.43070886
511,37,1,1,0,1,46.6445003570745,302.284122772719,402032.197699035,5531714.44049383
512,37,1,2,0,2,81.7574679950057,301.566662065287,402002.467191609,5531733.12250187
513,37,1,3,0,3,120.919584272946,319.439754877666,401968.894819626,5531753.28601324
514,37,1,4,0,4,121.786887257722,337.890551650905,401968.56838669,5531754.08954047
515,38,1,0,0,0,0,74.2752542764522,402075.010634137,5531787.98834539
516,38,1,1,0,1,10.7476460105712,73.9278737670716,402085.356047194,5531790.90113159
517,38,1,2,0,2,21.5852613835368,75.1067812791589,402095.751680703,5531793.96457915
518,38,1,3,0,3,32.0122656674243,72.5460466987434,402105.896211953,5531796.37516083
519,38,1,4,0,4,34.0639416906988,72.9843091914089,402107.804589118,5531797.12846761
520,38,1,5,0,5,42.1911253234032,70.4722715513887,402115.739420492,5531798.88618342
521,38,1,6,0,6,46.3460900491855,77.1685849938098,402119.45573392,5531800.74434013
522,38,1,7,0,7,55.9142723406824,88.8559934401295,402129.022729976,5531800.59367877
523,38,1,8,0,8,63.5847784885981,86.8097657094589,402136.681348865,5531801.02055261
524,39,1,0,0,0,0,28.9264258344962,402031.419282033,5531797.53023122
525,39,1,1,0,1,8.72160238572044,21.0614445133603,402035.637799979,5531805.16373988
526,39,1,2,0,2,23.6805544827669,9.53945439122687,402039.052790696,5531819.72767088
527,39,1,3,0,3,40.341033233276,4.2758224251315,402040.760286055,5531836.30041996
528,39,1,4,0,4,61.9090071176997,3.53395230734721,402041.76469509,5531857.84499375
529,39,1,5,0,5,66.4925691742872,4.3987053546607,402042.116238252,5531862.41505486
530,40,2,0,0,0,0,324.462322208587,402075.914602268,5531815.10738933
531,40,2,1,0,1,13.8244051477226,324.505246793107,402067.879329991,5531826.35677051
532,40,2,2,0,2,33.3058628169051,323.981426538455,402056.579728351,5531842.22643326
533,40,2,3,0,3,45.4392736178494,324.216628067985,402049.347983302,5531851.9692009
534,40,2,4,0,4,56.5641239104138,322.541095644183,402042.969985932,5531861.08421289
535,40,2,5,0,5,57.9723128992311,325.199641261835,402042.066017801,5531862.1639526
536,40,2,6,0,6,64.6187482560479,330.335665671992,402038.776578212,5531867.93930455
537,41,3,0,0,0,0,22.0362269402964,402030.917077516,5531849.98549306
538,41,3,1,0,1,6.82647248787844,22.154490234593,402033.478320554,5531856.31326997
539,41,3,2,0,2,17.0291376429065,28.1159066737882,402037.345295338,5531865.7547149
540,41,3,3,0,3,19.9959721960982,27.7822935306204,402039.002570245,5531868.21551703
541,41,3,4,0,4,25.4515407829731,20.2518870781394,402041.011388314,5531873.28778266
542,41,3,5,0,5,31.3436219755973,21.88620041485,402042.91976548,5531878.8622528
543,41,3,6,0,6,43.5218485362001,24.9359006234841,402048.042251557,5531889.91075218
544,41,3,7,0,7,52.5538540205172,30.1688771285688,402051.859005888,5531898.09668582
545,41,3,8,0,8,55.9399193308697,38.2260986826184,402053.817603506,5531900.85881066
546,41,3,9,0,9,70.6042912367691,39.8326675309874,402063.459930239,5531911.90731004
547,41,3,10,0,10,83.2552606298231,40.2181280117945,402071.344541161,5531921.80073903
548,41,3,11,0,11,97.6230501348155,41.6458761808262,402080.936647442,5531932.49769525
