fid,id,Ordnung,vertex_index,vertex_part,vertex_part_index,distance,angle,xcoord,ycoord
139,47,1,1,0,1,12.03980759590589,342.15352174446218,402062.536537208,5531956.34506845
139,47,1,2,0,2,20.75843586692530,341.64343875128731,402059.844165913,5531964.63757204
139,47,1,3,0,3,30.82214377860329,342.84759430123142,402056.61332036,5531974.16856642
139,47,1,4,0,4,45.85956170354422,344.42097644665012,402052.574763418,5531988.65352399
140,19,2,0,0,0,0.00000000000000,4.76364169089703,401898.894209921,5531929.04442352
140,19,2,1,0,1,6.48408871666020,5.94432901973370,401899.43268418,5531935.50611463
140,19,2,2,0,2,16.46912072967736,12.20325736100221,401900.671174975,5531945.41404099
140,19,2,3,0,3,21.54450842125832,15.25138930272072,401902.1789029,5531950.26030932
140,19,2,4,0,4,30.72656036881386,14.00902123936709,401904.27895251,5531959.19898202
140,19,2,5,0,5,39.58196560818336,12.38723743341806,401906.540544398,5531967.76072274
140,19,2,6,0,6,45.48679684504278,17.89112250978577,401907.56364549,5531973.57624473
140,19,2,7,0,7,50.92965033178886,20.98233954599811,401909.932932229,5531978.47636049
140,19,2,8,0,8,60.79666769808398,15.34014785469139,401912.679150949,5531987.95350745
140,19,2,9,0,9,68.52841555691984,16.59592795555207,401914.617658282,5531995.43829965
140,19,2,10,0,10,76.77006269932626,16.57822022785366,401917.25618215,5532003.2461764
140,19,2,11,0,11,83.44388581412402,17.32117222628426,401918.925452353,5532009.70786751
140,19,2,12,0,12,87.97539545708932,16.52934181812712,401920.487027704,5532013.96181415
140,19,2,13,0,13,97.86369489500053,15.03848818114771,401922.694772165,5532023.60050339
140,19,2,14,0,14,104.06340232060931,15.60607354193492,401924.525584646,5532029.52372024
140,19,2,15,0,15,114.72029630363807,14.58603948527658,401927.110261089,5532039.86242601
140,19,2,16,0,16,121.52576738805853,15.07345654085221,401928.887226143,5532046.43181197
140,19,2,17,0,17,131.50498992692656,16.86843271156261,401931.471902586,5532056.0705012
140,19,2,18,0,18,141.56869783768514,14.88336401272893,401934.702748139,5532065.60149559
140,19,2,19,0,19,152.81559352678693,11.04094018019596,401936.856645175,5532076.64021789
141,20,1,0,0,0,0.00000000000000,6.31698567981077,401609.652761739,5531696.85432307
141,20,1,1,0,1,7.34089734521814,7.87212157762212,401610.460473128,5531704.15064928
141,20,1,2,0,2,14.57336038738883,9.16700082953928,401611.645116497,5531711.28543321
141,20,1,3,0,3,21.87698513365146,10.47041133569019,401612.775912441,5531718.50098828
141,20,1,4,0,4,28.97938712440307,8.08935111446079,401614.256716653,5531725.44730622
141,20,1,5,0,5,40.15503087241494,7.39926317047441,401615.064428041,5531736.59372338
141,20,1,6,0,6,45.68901652461342,8.25495809248159,401616.087529133,5531742.0323134
